outcome,n_obs,n_clusters,controls,control_spec,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,exposure_spec,loo_variant,omitted_region,omitted_region_name,omitted_original_tercile,n_assignment_changes
poverty_gap,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.005881527350556571,0.005014801119781418,-0.01657032291838733,0.0048072682172741864,0.25915183446007406,-0.006581950785788248,0.004284252884439652,-0.015713619649390304,0.0025497180778138086,0.14528447087721275,exposure_cov_hybrid,reranked_groups,30.0,Comunidad de Madrid,low,2
poverty_gap_sq,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0024740618561791493,0.003816680270983487,-0.010609123285313866,0.0056609995729555666,0.52663959948526,-0.0033378911319090748,0.0036398273114754184,-0.011095999400869416,0.004420217137051267,0.37362782345661083,exposure_cov_hybrid,reranked_groups,30.0,Comunidad de Madrid,low,2
poverty,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.007952818109344327,0.009381742561528442,-0.027949529028672933,0.01204389280998428,0.40993286451746247,-0.008409770501424815,0.009616573540135122,-0.028907011803387988,0.012087470800538357,0.3956281469209726,exposure_cov_hybrid,fixed_groups,41.0,Castilla y León,medium,0
matdep,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.00835264318444225,0.005701343985514649,-0.003799483862562911,0.02050477023144741,0.16355758228618855,0.008294304142096906,0.005420049059614528,-0.0032582569629301707,0.019846865247123983,0.14675624951507094,exposure_cov_hybrid,fixed_groups,41.0,Castilla y León,medium,0
poverty_gap,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.003333712723677442,0.005571389751348485,-0.015208848877325562,0.008541423429970678,0.55852563393049,-0.0017168643997931778,0.005338135040314613,-0.013094829905608476,0.00966110110602212,0.752176895977245,exposure_cov_hybrid,fixed_groups,41.0,Castilla y León,medium,0
poverty_gap_sq,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0008308667854067356,0.004057710006122317,-0.009479670933969503,0.007817937363156032,0.8405102697965303,0.0005989117968029966,0.0040566296239313866,-0.008047589571629883,0.009245413165235875,0.8845948723946249,exposure_cov_hybrid,fixed_groups,41.0,Castilla y León,medium,0
poverty,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.010958749025248814,0.009343918066344973,-0.030874838941507585,0.008957340891009958,0.25915650573570637,-0.007078420133532888,0.009722827501899697,-0.027802136394013088,0.013645296126947312,0.4778125583430579,exposure_cov_hybrid,reranked_groups,41.0,Castilla y León,medium,1
matdep,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.00560254221288825,0.005576172165452742,-0.006282787415129069,0.01748787184090557,0.33096099107944155,0.009543437448456335,0.0057343977246756645,-0.0026791419758626246,0.021766016872775296,0.11680833574101257,exposure_cov_hybrid,reranked_groups,41.0,Castilla y León,medium,1
poverty_gap,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0032913969596880385,0.005337815060895224,-0.014668680445515291,0.008085886526139213,0.5467316100475563,-0.0015964128837459978,0.005421001312664985,-0.01315100366810473,0.009958177900612732,0.7724222722836995,exposure_cov_hybrid,reranked_groups,41.0,Castilla y León,medium,1
poverty_gap_sq,160917,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.00013877079019091265,0.003991109188078424,-0.008645618655400115,0.00836807707501829,0.9727216388319597,0.00040686383209471646,0.00413200331896181,-0.00840029276435792,0.009214020428547352,0.9228656796531016,exposure_cov_hybrid,reranked_groups,41.0,Castilla y León,medium,1
poverty,163624,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0008695473362887201,0.011556814017657704,-0.02376321864976664,0.02550231332234408,0.941017199017383,-0.008401714000771231,0.009606745096565669,-0.02887800647115473,0.012074578469612268,0.3955985955346155,exposure_cov_hybrid,fixed_groups,42.0,Castilla-La Mancha,medium,0
