outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,label,exposure_spec
poverty_gap,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.007784867211078758,0.006305475346184682,-0.005739032372412054,0.02130876679456957,0.23729353851357593,0.35163516351635166,0.007485470105367076,0.005552572555506578,-0.004423613595381174,0.019394553806115326,0.19903222178593394,0.3653365336533653,baseline_2021_2025,exposure_cov_sim
poverty_gap_sq,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.0069037099105926335,0.004748043816145467,-0.003279831259926612,0.01708725108111188,0.16799270807579325,0.2822282228222822,0.00624331664164221,0.00444779831513382,-0.003296261975200044,0.015782895258484465,0.1822035764742389,0.3503350335033503,baseline_2021_2025,exposure_cov_sim
poverty,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.0030232626778223183,0.009217474031176882,-0.02279277827611855,0.016746252920473916,0.7477710684150332,0.7787778777877787,0.012889380694461725,0.005183009010626413,0.0017729319651121674,0.024005829423811284,0.026121436011066868,0.0665066506650665,baseline_2021_2025,exposure_exp_sim
matdep,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.004702036211335755,0.004923414478159882,-0.015261710043194852,0.005857637620523341,0.3557606138665752,0.42484248424842486,0.0021406692556718344,0.007918855563507575,-0.01484358674048305,0.01912492525182672,0.7908540255736947,0.8334833483348335,baseline_2021_2025,exposure_exp_sim
poverty_gap,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.0019460885380889134,0.006260763434412096,-0.015374090608418527,0.0114819135322407,0.7605029487599686,0.8203820382038204,0.005561940538556626,0.003421096396738371,-0.0017755814712513982,0.01289946254836465,0.12628816228232642,0.1929192919291929,baseline_2021_2025,exposure_exp_sim
poverty_gap_sq,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.000922883432676622,0.004989362341684345,-0.011624001364319606,0.009778234498966363,0.8559052405148075,0.8941894189418942,0.004149822467952519,0.0029823928035631305,-0.0022467739152715414,0.010546418851176579,0.18580775850842368,0.24902490249024903,baseline_2021_2025,exposure_exp_sim
poverty,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.01862978863871775,0.00835527776496942,-0.03634218624914194,-0.000917391028293555,0.040443153882854244,0.047004700470047005,-0.006422399473906807,0.008144452284604208,-0.02368786703129392,0.010843068083480309,0.44189648545648663,0.46134613461346136,baseline_2021_2025,exposure_cov_admin
matdep,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.0010910909933006996,0.006802787976825748,-0.013330175288250841,0.01551235727485224,0.8745823059077911,0.8587858785878588,0.01356843887041669,0.008165949799926988,-0.0037426013836232754,0.030879479124456655,0.1160602849920993,0.20612061206120613,baseline_2021_2025,exposure_cov_admin
poverty_gap,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.007769510918217812,0.004809459456018612,-0.01796510950542144,0.002426087668985816,0.12575444046306483,0.1323132313231323,-0.0008204875545637206,0.004917725608218148,-0.01124560013154144,0.009604625022413998,0.8695840127266425,0.8804880488048805,baseline_2021_2025,exposure_cov_admin
poverty_gap_sq,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.00452338281697534,0.0039041288479659294,-0.012799766250620886,0.0037530006166702047,0.26361440004917736,0.30183018301830183,0.0017166059391328303,0.004160484270232864,-0.007103226712660492,0.010536438590926152,0.6853772116114272,0.726972697269727,baseline_2021_2025,exposure_cov_admin
poverty,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.012064839385161737,0.010830297965325034,-0.03502404543399945,0.010894366663675974,0.28173892917220567,0.37803780378037805,0.0003292160543748274,0.006987371731527908,-0.014483350306919978,0.015141782415669634,0.9630039741728156,0.9671967196719672,baseline_2021_2025,exposure_exp_admin
matdep,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.0064685290032803315,0.004862769636821376,-0.0038400821187095195,0.016777140125270183,0.20209825933180414,0.19171917191719173,0.016021896713450594,0.005679341570331958,0.003982230422416315,0.028061563004484875,0.012294475281001471,0.039903990399039906,baseline_2021_2025,exposure_exp_admin
poverty_gap,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.0056861866704604955,0.006089668614364857,-0.01859570743655391,0.00722333409563292,0.36431481961683665,0.49334933493349337,-0.000739889020411602,0.004219969970475578,-0.009685825723377341,0.008206047682554138,0.8630196827973533,0.8760876087608761,baseline_2021_2025,exposure_exp_admin
poverty_gap_sq,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.00306311993240354,0.005053873985595795,-0.013776854176064507,0.007650614311257428,0.5529550279940647,0.5893589358935893,-0.00033208080767960896,0.0033097021910036043,-0.007348336021232347,0.006684174405873129,0.9213244239460083,0.9362936293629363,baseline_2021_2025,exposure_exp_admin
