year,drgn2,region,benefit_component,n_households,n_first_recipients,n_max_recipients,recipient_count_difference,weighted_first_recipients,weighted_max_recipients,weighted_recipient_difference,mean_first_monthly,mean_max_monthly,mean_monthly_difference,households_first_below_max,households_multiple_positive_rows,households_multiple_distinct_positive,weighted_recipient_pct_difference,material_difference
2017,52,Comunitat Valenciana,bsarg_s,861,20,24,4,47632.03999999999,56539.14,8907.100000000006,417.3512632253417,401.68518486308784,-15.66607836225387,4,0,0,0.15753865375384213,True
2018,51,Cataluña,bsarg_s,2798,68,76,8,63657.13,75312.76,11655.629999999997,539.665183648713,571.1207998551641,31.455616206451168,8,1,0,0.15476301758161562,True
2018,41,Castilla y León,bsa00_s,783,15,19,4,16927.82,20024.539999999994,3096.719999999994,574.9188932951793,593.1925177856772,18.273624490497923,4,0,0,0.15464624905241242,True
2019,41,Castilla y León,bsa00_s,872,12,14,2,17461.329999999998,20615.109999999997,3153.779999999999,487.10658010586826,479.72690145238136,-7.379678653486906,2,0,0,0.1529839035542376,True
2017,43,Extremadura,bsa00_s,517,14,18,4,12940.369999999997,15277.12,2336.7500000000036,415.5874278865288,410.0897205166942,-5.497707369834643,4,0,0,0.15295749460631347,True
2018,52,Comunitat Valenciana,bsarg_s,808,20,23,3,51128.009999999995,59855.29,8727.280000000006,350.2011432011534,332.19505414809623,-18.006089053057167,3,0,0,0.14580632722688347,True
2017,51,Cataluña,bsarg_s,2952,91,103,12,66210.89,77029.57999999999,10818.689999999988,578.1062216200387,567.6394040951542,-10.466817524884505,12,0,0,0.14044851341523593,True
2017,11,Galicia,bsarg_s,835,5,7,2,5627.290000000001,6495.3099999999995,868.0199999999986,374.30503116064745,368.57892833444447,-5.726102826202975,2,0,0,0.13363796339204728,True
2018,11,Galicia,bsa00_s,782,13,16,3,17259.609999999997,19921.85,2662.2400000000016,451.8273036181003,495.0104259644562,43.1831223463559,3,0,0,0.13363417554092627,True
2017,12,Principado de Asturias,bsarg_s,553,13,15,2,11665.159999999998,13252.869999999999,1587.710000000001,474.02654405940433,478.11092074395975,4.084376684555423,2,0,0,0.11980122041489889,True
2017,21,País Vasco,bsarg_s,749,33,38,5,38133.09,43100.70999999999,4967.619999999995,742.2508806393607,732.803332337217,-9.447548302143787,5,0,0,0.11525610598990124,True
2018,61,Andalucía,bsarg_s,1363,7,8,1,15695.4,17629.33,1933.930000000002,360.929506492348,361.5340052855099,0.6044987931618948,1,0,0,0.1096995745158779,True
2018,43,Extremadura,bsa00_s,527,13,15,2,10437.980000000001,11620.520000000002,1182.5400000000009,526.8054200908605,525.3648709007858,-1.4405491900746483,2,0,0,0.10176308805457937,True
2017,53,Illes Balears,bsarg_s,318,4,5,1,6833.46,7558.86,725.3999999999996,425.67275847081856,439.4360596836031,13.76330121278454,1,0,0,0.09596685214437094,True
2018,63,Ciudad de Ceuta,bsa00_s,115,3,4,1,532.17,584.78,52.610000000000014,915.65795986245,901.5551583501486,-14.102801512301312,1,0,0,0.08996545709497591,True
2019,52,Comunitat Valenciana,bsarg_s,1056,24,29,5,53470.97,58578.37,5107.4000000000015,397.8612845456142,382.02684183086694,-15.83444271474724,5,0,0,0.08718917921410242,True
2018,70,Canarias,bsa00_s,490,10,12,2,19457.34,21244.98,1787.6399999999994,312.60843073616434,308.822630287249,-3.7858004489153245,2,0,0,0.08414411310342487,True
2018,21,País Vasco,bsarg_s,750,31,36,5,35142.659999999996,37987.8,2845.1400000000067,806.9291709250239,824.4942716687988,17.565100743774906,5,0,0,0.07489615086948985,True
2019,22,Comunidad Foral de Navarra,bsarg_s,398,11,14,3,11584.53,12381.44,796.9099999999999,608.5136095465245,601.4139021390082,-7.099707407516348,3,0,0,0.06436327276956476,True
2017,22,Comunidad Foral de Navarra,bsa00_s,389,8,9,1,7007.02,7430.22,423.1999999999998,434.486477832231,413.5779139648623,-20.908563867368684,1,0,0,0.056956590787352164,True
2017,70,Canarias,bsarg_s,495,39,40,1,15344.219999999998,15716.02,371.8000000000029,499.2520249709664,501.3004703862683,2.0484454153018987,1,0,0,0.02365738908451395,False
2017,22,Comunidad Foral de Navarra,bsarg_s,389,20,21,1,14048.310000000001,14325.33,277.0199999999986,543.8056472771457,546.0079171998132,2.202269922667483,1,0,0,0.019337774417762008,False
2017,24,Aragón,bsa00_s,514,7,7,0,8579.74,8579.74,0.0,546.1835422402078,546.1835422402078,0.0,0,0,0,0.0,False
2017,13,Cantabria,bsarg_s,388,6,6,0,3273.9300000000003,3273.9300000000003,0.0,394.12667247008943,394.12667247008943,0.0,0,0,0,0.0,False
2017,41,Castilla y León,bsarg_s,814,3,3,0,4091.7799999999997,4091.7799999999997,0.0,298.5426882676977,298.5426882676977,0.0,0,0,0,0.0,False
2017,62,Región de Murcia,bsarg_s,494,1,1,0,487.02,487.02,0.0,463.22,463.22,0.0,0,0,0,0.0,False
2018,13,Cantabria,bsarg_s,412,6,6,0,3445.5599999999995,3445.5599999999995,0.0,411.80241850381367,411.80241850381367,0.0,0,0,0,0.0,False
2018,41,Castilla y León,bsarg_s,783,2,2,0,2367.67,2367.67,0.0,604.8135776100554,604.8135776100554,0.0,0,0,0,0.0,False
2018,43,Extremadura,bsarg_s,527,6,6,0,4006.1499999999996,4006.1499999999996,0.0,469.9619334273555,469.9619334273555,0.0,0,0,0,0.0,False
