period,sample_rule,control_spec,exposure_spec,outcome,n_obs,coef_medium,pval_wbt_medium,coef_high,pval_wbt_high,controls
baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,matdep,171152,0.0013070581609973724,0.6373637363736374,0.00959631367494113,0.18141814181418142,
baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,poverty_gap,171152,0.0108574817228691,0.1263126312631263,0.0015793664647442088,0.7430743074307431,
baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,poverty_gap_sq,171152,0.00699089648123389,0.15831583158315832,0.0010026487239011732,0.802080208020802,
baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,poverty,171152,0.022828292486914408,0.07170717071707171,0.0025785198462222637,0.7752775277527753,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,matdep,171152,-0.00045243895348042666,0.8758875887588758,0.00684370652593298,0.2911291129112911,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,poverty_gap,171152,0.008974993213925982,0.1621162116211621,-0.0008087280049758243,0.8578857885788579,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,poverty_gap_sq,171152,0.005788382183317716,0.1933193319331933,-0.0005736414836981025,0.8822882288228823,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,poverty,171152,0.02295183811224721,0.0895089508950895,-0.0007333578248757893,0.936993699369937,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,matdep,171152,-0.00038272406450010293,0.89008900890089,0.00454311090345808,0.4454445444544454,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,poverty_gap,171152,0.009029753803806159,0.1855185518551855,-0.002174129326744612,0.6449644964496449,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,poverty_gap_sq,171152,0.005816357619778743,0.22572257225722572,-0.001355213323420453,0.7301730173017301,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,poverty,171149,0.022570291322699082,0.060106010601060106,0.012718990643482678,0.15231523152315232,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,matdep,171149,-0.00036722235119299634,0.8863886388638864,0.009292652369112381,0.3096309630963096,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,poverty_gap,171149,0.008455896163042091,0.1622162216221622,0.004313065431282392,0.3858385838583858,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,poverty_gap_sq,171149,0.005320400434449332,0.2006200620062006,0.00291179311399111,0.5016501650165016,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,poverty,151363,0.002115900770679077,0.8882888288828883,-0.007706349538171358,0.5064506450645064,
covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,matdep,151363,0.009791204145826349,0.10251025102510251,0.007873619298609002,0.2686268626862686,
covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,poverty_gap,151363,0.0019260123981293016,0.8080808080808081,-0.0017751468768230406,0.7811781178117811,
covid_robust_2022_2025,available_case,unadjusted,exposure_cov_hybrid,poverty_gap_sq,151363,0.0027586474519211224,0.6222622262226223,0.0006038202906407158,0.9062906290629063,
covid_robust_2022_2025,available_case,preferred_demographic,exposure_cov_hybrid,poverty,150621,-0.0008971987746146696,0.934993499349935,-0.008989919643647681,0.39593959395939593,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
