variable,value,unweighted_n,weighted_n,unweighted_pct,weighted_pct
head_age,46.0,3919,3919.0,2.2785016191954606,2.2785016191954606
head_age,47.0,3937,3937.0,2.2889667963185834,2.2889667963185834
head_age,48.0,3978,3978.0,2.3128041442101406,2.3128041442101406
head_age,49.0,3873,3873.0,2.2517572776585912,2.2517572776585912
head_age,50.0,3847,3847.0,2.236640910702969,2.236640910702969
head_age,51.0,3936,3936.0,2.2883853975895208,2.2883853975895208
head_age,52.0,4052,4052.0,2.355827650160757,2.355827650160757
head_age,53.0,4047,4047.0,2.352920656515445,2.352920656515445
head_age,54.0,4132,4132.0,2.402339548485747,2.402339548485747
head_age,55.0,4174,4174.0,2.426758295106367,2.426758295106367
head_age,56.0,4022,4022.0,2.3383856882888856,2.3383856882888856
head_age,57.0,3961,3961.0,2.3029203658160804,2.3029203658160804
head_age,58.0,4000,4000.0,2.325594916249513,2.325594916249513
head_age,59.0,3927,3927.0,2.2831528090279596,2.2831528090279596
head_age,60.0,3992,3992.0,2.320943726417014,2.320943726417014
head_age,61.0,3928,3928.0,2.2837342077570217,2.2837342077570217
head_age,62.0,3828,3828.0,2.225594334850784,2.225594334850784
head_age,63.0,3787,3787.0,2.2017569869592264,2.2017569869592264
head_age,64.0,3627,3627.0,2.108733190309246,2.108733190309246
head_age,65.0,3545,3545.0,2.0610584945261308,2.0610584945261308
head_age,66.0,3339,3339.0,1.941290356339281,1.941290356339281
head_age,67.0,3167,3167.0,1.841289774940552,1.841289774940552
head_age,68.0,2935,2935.0,1.7064052697980803,1.7064052697980803
head_age,69.0,2912,2912.0,1.6930330990296456,1.6930330990296456
head_age,70.0,2825,2825.0,1.6424514096012186,1.6424514096012186
head_age,71.0,2774,2774.0,1.6128000744190374,1.6128000744190374
head_age,72.0,2641,2641.0,1.535474043453741,1.535474043453741
head_age,73.0,2588,2588.0,1.5046599108134349,1.5046599108134349
head_age,74.0,2526,2526.0,1.4686131896115675,1.4686131896115675
head_age,75.0,2450,2450.0,1.4244268862028269,1.4244268862028269
head_age,76.0,2394,2394.0,1.3918685573753335,1.3918685573753335
head_age,77.0,2266,2266.0,1.317449520055349,1.317449520055349
head_age,78.0,2134,2134.0,1.2407048878191151,1.2407048878191151
head_age,79.0,2063,2063.0,1.1994255780556864,1.1994255780556864
head_age,80.0,1864,1864.0,1.0837272309722732,1.0837272309722732
head_age,81.0,1824,1824.0,1.060471281809778,1.060471281809778
head_age,82.0,1713,1713.0,0.995936022883854,0.995936022883854
head_age,83.0,1561,1561.0,0.9075634160663725,0.9075634160663725
head_age,84.0,1447,1447.0,0.8412839609532614,0.8412839609532614
head_age,85.0,4244,4244.0,2.4674562061407332,2.4674562061407332
head_age,86.0,3624,3624.0,2.1069889941220588,2.1069889941220588
head_age,87.0,140,140.0,0.08139582206873296,0.08139582206873296
head_age,88.0,108,108.0,0.06279106273873686,0.06279106273873686
head_age,89.0,134,134.0,0.07790742969435868,0.07790742969435868
head_age,9.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,90.0,81,81.0,0.04709329705405264,0.04709329705405264
head_age,91.0,74,74.0,0.04302350595061599,0.04302350595061599
head_age,92.0,51,51.0,0.029651335182181292,0.029651335182181292
head_age,93.0,34,34.0,0.019767556788120862,0.019767556788120862
head_age,94.0,33,33.0,0.019186158059058482,0.019186158059058482
head_age,95.0,21,21.0,0.012209373310309943,0.012209373310309943
head_age,96.0,15,15.0,0.008720980935935674,0.008720980935935674
head_age,97.0,10,10.0,0.0058139872906237825,0.0058139872906237825
head_age,98.0,5,5.0,0.0029069936453118912,0.0029069936453118912
head_age,99.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,<MISSING>,2,2.0,0.0011627974581247566,0.0011627974581247566
head_age_group,35_54,66103,66103.0,38.43220018721039,38.43220018721039
head_age_group,55_64,39246,39246.0,22.8175745207821,22.8175745207821
head_age_group,65plus,57549,57549.0,33.45891545881081,33.45891545881081
head_age_group,<MISSING>,2,2.0,0.0011627974581247566,0.0011627974581247566
head_age_group,under35,9099,9099.0,5.29014703573858,5.29014703573858
head_sex,<MISSING>,2,2.0,0.0011627974581247566,0.0011627974581247566
head_sex,female,72956,72956.0,42.416525677474866,42.416525677474866
head_sex,male,99041,99041.0,57.582311525067006,57.582311525067006
head_education_group,<MISSING>,844,844.0,0.4907005273286473,0.4907005273286473
head_education_group,high,58119,58119.0,33.790312734376364,33.790312734376364
head_education_group,low,76321,76321.0,44.37293240076977,44.37293240076977
head_education_group,medium,36715,36715.0,21.346054337525217,21.346054337525217
