model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,pretrend_chi2_stat,pretrend_chi2_p,pretrend_inference
continuous,exposure_cov_sim,matdep,,2021,2,event_x_2021,0.0029147143703361854,0.003381802730926723,-0.004338531108119525,0.010167959848791895,0.4032742167930079,2019,False,160572,15,5.878406631841582,0.05290786280431321,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,matdep,,2022,3,event_x_2022,0.0027395456015053546,0.003447700112587496,-0.00465503570390502,0.01013412690691573,0.4401086209828151,2019,False,160572,15,5.878406631841582,0.05290786280431321,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,matdep,,2023,4,event_x_2023,0.000125930684743383,0.005351866006678925,-0.011352680281901392,0.011604541651388158,0.9815594124441,2019,False,160572,15,5.878406631841582,0.05290786280431321,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,matdep,,2024,5,event_x_2024,-0.0006161348782448494,0.0038583350696350356,-0.008891440573124486,0.0076591708166347874,0.8754068284059788,2019,False,160572,15,5.878406631841582,0.05290786280431321,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,matdep,,2025,6,event_x_2025,-4.3130078443078505e-05,0.004748748915149379,-0.01022818353591958,0.010141923379033422,0.9928815407847515,2019,False,160572,15,5.878406631841582,0.05290786280431321,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap,,2017,-2,event_x_2017,0.0004515910588878107,0.002894811945579882,-0.005757163066017358,0.00666034518379298,0.8782600077443938,2019,True,160572,15,22.84351191303192,1.0954546783506885e-05,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap,,2018,-1,event_x_2018,-0.0023238742585199447,0.0011829368282668502,-0.004861021420434394,0.00021327290339450506,0.06964065526726437,2019,True,160572,15,22.84351191303192,1.0954546783506885e-05,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap,,2021,2,event_x_2021,-0.0009515448183825383,0.0021696132117263803,-0.00560490235282387,0.0037018127160587935,0.667659458096884,2019,False,160572,15,22.84351191303192,1.0954546783506885e-05,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap,,2022,3,event_x_2022,0.00038331512932428534,0.0016551811384108179,-0.003166695342431873,0.003933325601080444,0.8202109889947309,2019,False,160572,15,22.84351191303192,1.0954546783506885e-05,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap,,2023,4,event_x_2023,-1.2003683862210158e-05,0.0018156100932692108,-0.003906100042355216,0.0038820926746307954,0.9948182085688555,2019,False,160572,15,22.84351191303192,1.0954546783506885e-05,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap,,2024,5,event_x_2024,-0.000660350975976197,0.0023959390401202462,-0.005799129134288663,0.004478427182336269,0.7868719343272823,2019,False,160572,15,22.84351191303192,1.0954546783506885e-05,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap,,2025,6,event_x_2025,0.00014808401042547584,0.002011578424997526,-0.00416632261721188,0.004462490638062832,0.9423575425464377,2019,False,160572,15,22.84351191303192,1.0954546783506885e-05,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap_sq,,2017,-2,event_x_2017,0.0009531263009066371,0.0018481139773298938,-0.0030106839554253453,0.004916936557238619,0.6140913436558839,2019,True,160572,15,8.632498082385048,0.01334986453748106,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap_sq,,2018,-1,event_x_2018,-0.0015911416316904006,0.0006263073515575384,-0.002934437301856065,-0.00024784596152473614,0.02354653441653931,2019,True,160572,15,8.632498082385048,0.01334986453748106,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap_sq,,2021,2,event_x_2021,-6.546655524004003e-05,0.0016755640203580393,-0.003659193960857999,0.003528260850377919,0.9693851984636543,2019,False,160572,15,8.632498082385048,0.01334986453748106,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty_gap_sq,,2022,3,event_x_2022,0.001187935161456042,0.0013075791688285346,-0.0016165432332460254,0.003992413556158109,0.3789882259230797,2019,False,160572,15,8.632498082385048,0.01334986453748106,CRV1 asymptotic chi-square Wald diagnostic
