model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,control_spec,pretrend_group_chi2_stat,pretrend_group_chi2_p,pretrend_inference,pretrend_chi2_stat,pretrend_chi2_p
tercile,exposure_cov_hybrid,matdep,medium,2025,6,event_medium_2025,0.004974852712509749,0.007589716377008717,-0.011114627254697371,0.02106433267971687,0.5214773932841972,2019,False,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2017,-2,event_high_2017,0.007760346595782575,0.00807138354947846,-0.009350222162804074,0.024870915354369222,0.3506249853612118,2019,True,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2018,-1,event_high_2018,0.002362313441803933,0.0052799224135535805,-0.008830622062165379,0.013555248945773245,0.6605737174084685,2019,True,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2021,2,event_high_2021,0.01600143838618404,0.007100360512275658,0.0009493465098295312,0.03105353026253855,0.038600437093140094,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2022,3,event_high_2022,0.014860681716347126,0.005658252544008888,0.0028657221639705396,0.026855641268723713,0.01833089384296893,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2023,4,event_high_2023,0.013662775003213723,0.010332891179366114,-0.008241975764201062,0.03556752577062851,0.20467308077573887,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2024,5,event_high_2024,0.00923930088391656,0.006196028846198761,-0.0038956935012679494,0.02237429526910107,0.15536974720096053,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2025,6,event_high_2025,0.005853591067936398,0.008065622786920414,-0.011244765419575892,0.022951947555448687,0.4784768663415977,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,poverty_gap,medium,2017,-2,event_medium_2017,-0.002506624814120689,0.0071310503883068406,-0.017623776321306146,0.01261052669306477,0.7297932229190447,2019,True,171152,17,preferred_demographic,0.23346905979760194,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
tercile,exposure_cov_hybrid,poverty_gap,medium,2018,-1,event_medium_2018,-0.002364710060427786,0.005033776933276648,-0.013035840456378667,0.008306420335523097,0.6448591091235722,2019,True,171152,17,preferred_demographic,0.23346905979760194,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.33456781404356906
