model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p
tercile_event_study,exposure_exp_hybrid,matdep,medium,2022,3,yr_2022_x_medium,-0.002264541518696437,0.00607296737567167,-0.015138657240380606,0.010609574202987733,0.7141249562010397,0.7411741174117412,False,2019,171999,17,8.05055451128429,0.0897437736882834
tercile_event_study,exposure_exp_hybrid,matdep,medium,2023,4,yr_2023_x_medium,-0.012724690820821062,0.0056680598227980454,-0.024740440875473724,-0.0007089407661684012,0.03925626629029022,0.043404340434043405,False,2019,171999,17,8.05055451128429,0.0897437736882834
tercile_event_study,exposure_exp_hybrid,matdep,medium,2024,5,yr_2024_x_medium,-0.010008974223341106,0.005761372194827768,-0.022222537669942484,0.0022045892232602695,0.10154984150897994,0.09360936093609361,False,2019,171999,17,8.05055451128429,0.0897437736882834
tercile_event_study,exposure_exp_hybrid,matdep,medium,2025,6,yr_2025_x_medium,-0.013535482496441651,0.0068708349244538435,-0.02810100186286582,0.0010300368699825199,0.06640079751765393,0.06230623062306231,False,2019,171999,17,8.05055451128429,0.0897437736882834
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2017,-2,yr_2017_x_high,0.003936937828563928,0.00801826211063833,-0.01306101851032327,0.020934894167451125,0.6300953682127459,0.6631663166316631,True,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2018,-1,yr_2018_x_high,-0.004821089683328132,0.004707019540152746,-0.014799525350035932,0.0051573459833796674,0.3209618830324734,0.43454345434543457,True,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2021,2,yr_2021_x_high,0.002268184131116093,0.005211022804544398,-0.008778690726600381,0.013315058988832567,0.6691833935172542,0.7104710471047104,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2022,3,yr_2022_x_high,0.0008347243120488638,0.003438101727812697,-0.0064537257600030245,0.008123174384100752,0.8112558414987481,0.8293829382938294,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2023,4,yr_2023_x_high,-0.0006492287180827511,0.0034427394547539418,-0.007947510332053724,0.006649052895888223,0.8527938635535643,0.8633863386338634,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2024,5,yr_2024_x_high,-0.004338712348866275,0.004444087610384047,-0.01375975722432294,0.005082332526590389,0.3434524730741624,0.40334033403340336,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,high,2025,6,yr_2025_x_high,-0.0011522154833694695,0.005155744407532497,-0.012081905374327956,0.009777474407589018,0.8259888667614823,0.8565856585658566,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2017,-2,yr_2017_x_medium,-0.00044814561547746457,0.008106486112637496,-0.0176331284837212,0.01673683725276627,0.9565979598542711,0.9390939093909391,True,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2018,-1,yr_2018_x_medium,-0.003217594004001646,0.005228195211041976,-0.014300872737252716,0.007865684729249426,0.5469250108083863,0.5908590859085908,True,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2021,2,yr_2021_x_medium,0.0018683969812932023,0.003997997672710692,-0.0066069794713604375,0.010343773433946843,0.6465628912349128,0.6586658665866587,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2022,3,yr_2022_x_medium,0.00046537170325037044,0.0033792385430157215,-0.00669829399142137,0.00762903739792211,0.8921838933551864,0.8974897489748975,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2023,4,yr_2023_x_medium,0.004174506737001496,0.00513087374491714,-0.006702459704483554,0.015051473178486546,0.4278135185621843,0.44744474447444743,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2024,5,yr_2024_x_medium,0.000518387305966623,0.005357479854709844,-0.010838962628503892,0.011875737240437136,0.9241190089836613,0.9372937293729373,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap,medium,2025,6,yr_2025_x_medium,0.0018034094193465555,0.004127984414142461,-0.006947526615296794,0.010554345453989904,0.6680413199297361,0.7187718771877187,False,2019,171999,17,7.399179931251679,0.11623808875675465
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2017,-2,yr_2017_x_high,0.0023630196925059836,0.0053727220934576495,-0.009026642344658,0.013752681729669968,0.6659519741485744,0.6988698869886989,True,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2018,-1,yr_2018_x_high,-0.0030689368249030647,0.0033234056116695837,-0.01011424199254307,0.0039763683427369405,0.36949958535456884,0.48064806480648065,True,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2021,2,yr_2021_x_high,0.002393369248721127,0.003921223739803472,-0.005919253736720439,0.010705992234162692,0.5501935408963257,0.6021602160216022,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2022,3,yr_2022_x_high,0.0010310825017133525,0.002640472823893685,-0.004566469830108581,0.0066286348335352855,0.7013230353980182,0.7246724672467246,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2023,4,yr_2023_x_high,0.00025848614465478684,0.002251164253525084,-0.004513768885810499,0.005030741175120073,0.9100137972091296,0.9155915591559156,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2024,5,yr_2024_x_high,-0.0025265710028198195,0.00263761762127266,-0.008118070575475091,0.0030649285698354524,0.3523654313481974,0.38633863386338635,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,high,2025,6,yr_2025_x_high,0.00108374162677879,0.0038695216543958404,-0.0071192778338263485,0.009286761087383927,0.7830115090239653,0.8193819381938194,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2017,-2,yr_2017_x_medium,-0.00012013187493077573,0.006196316965560696,-0.01325573704587746,0.013015473296015908,0.984771598070201,0.9865986598659866,True,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2018,-1,yr_2018_x_medium,-0.0006644251513457541,0.004383083407370607,-0.009956146893559456,0.00862729659086795,0.8814063783928385,0.8865886588658866,True,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2021,2,yr_2021_x_medium,0.0016745704530533867,0.0036570797014885935,-0.006078092185806767,0.00942723309191354,0.6531827064049973,0.6618661866186618,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2022,3,yr_2022_x_medium,-0.0003696697765890612,0.003087250444344524,-0.00691434835357819,0.006175008800400068,0.9061791347010835,0.914991499149915,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2023,4,yr_2023_x_medium,0.0025760602300426033,0.0038582257320844927,-0.005603012944995118,0.010755133405080324,0.5138540001899916,0.5521552155215521,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2024,5,yr_2024_x_medium,0.00012018772388635667,0.0035780065944838895,-0.007464847416408635,0.007705222864181349,0.9736190267079703,0.9628962896289629,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_exp_hybrid,poverty_gap_sq,medium,2025,6,yr_2025_x_medium,0.0023084363173543443,0.0026318333407871716,-0.003270801128447559,0.007887673763156248,0.39340069669478206,0.47814781478147816,False,2019,171999,17,4.823103823409041,0.30593438813906354
tercile_event_study,exposure_cov_hybrid,poverty,high,2017,-2,yr_2017_x_high,0.034269709810668215,0.012011044059494925,0.008807433859764954,0.059731985761571474,0.011504931278738084,0.019001900190019003,True,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,high,2018,-1,yr_2018_x_high,0.02575666456531718,0.009494134265291955,0.005629999024806674,0.04588333010582769,0.015360463660386792,0.04960496049604961,True,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,high,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,high,2021,2,yr_2021_x_high,0.003631959160457546,0.009837689720261722,-0.017223011409619737,0.02448692973053483,0.7168276762513872,0.7298729872987298,False,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,high,2022,3,yr_2022_x_high,0.0006026906720045838,0.010238952988722133,-0.021102920027264768,0.022308301371273934,0.9537905130871254,0.9606960696069607,False,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,high,2023,4,yr_2023_x_high,-0.0029790484241362433,0.01273868463307011,-0.029983853482889934,0.024025756634617444,0.8180608678737253,0.8225822582258225,False,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,high,2024,5,yr_2024_x_high,-0.002202805802490983,0.013561725525005106,-0.030952379609533457,0.026546768004551493,0.8730023620919805,0.8776877687768777,False,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,high,2025,6,yr_2025_x_high,-0.002886839409092612,0.013448692008716446,-0.03139679286596515,0.02562311404777992,0.8327476835086671,0.8509850985098509,False,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,medium,2017,-2,yr_2017_x_medium,0.013900001143896397,0.012647295683215461,-0.012911067995770156,0.04071107028356295,0.2880096640273788,0.33163316331633164,True,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,medium,2018,-1,yr_2018_x_medium,-0.0027984215312998758,0.010959093864570108,-0.026030662689465186,0.020433819626865437,0.8017050692237633,0.8240824082408241,True,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,medium,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,14.69309392430323,0.005381979442906315
tercile_event_study,exposure_cov_hybrid,poverty,medium,2021,2,yr_2021_x_medium,-0.02355317589574596,0.009003613222218125,-0.04263998327766472,-0.004466368513827201,0.01872310809461397,0.0501050105010501,False,2019,171999,17,14.69309392430323,0.005381979442906315
