model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,post_mean,post_max_abs,lead_to_post_ratio,region_trends
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2018,-1,yr_2018_x_exp,9.71953529621498e-05,0.002102803809678159,-0.0043605495863972225,0.0045549402923215215,0.9637054782315053,0.9636963696369637,True,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2021,2,yr_2021_x_exp,0.0012866805662026218,0.0023023956671683545,-0.0035941802095316284,0.0061675413419368715,0.5840056308939428,0.592959295929593,False,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2022,3,yr_2022_x_exp,0.000549269180032959,0.0022074257090489544,-0.004130264278217155,0.0052288026382830725,0.8066597169514327,0.8347834783478347,False,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2023,4,yr_2023_x_exp,-0.00020534529181878556,0.003000823861475852,-0.0065668076977910324,0.006156117114153462,0.9462915175817597,0.9490949094909491,False,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2024,5,yr_2024_x_exp,-0.0005431077565867219,0.0034237633568086827,-0.0078011618399649995,0.006714946326791555,0.8759462135853389,0.8958895889588959,False,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2025,6,yr_2025_x_exp,-0.00013193443642893986,0.0030685562737296323,-0.006636983142067014,0.006373114269209134,0.9662370384196901,0.9736973697369737,False,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2017,-2,yr_2017_x_exp,0.00401373849124028,0.0016146483697488914,0.0005908368558306459,0.007436640126649915,0.024358426953558387,0.163016301630163,True,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2018,-1,yr_2018_x_exp,-0.0006751953592767254,0.0015595734605642864,-0.003981343402851787,0.0026309526842983356,0.6708407553626095,0.686068606860686,True,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2021,2,yr_2021_x_exp,0.001408590362186491,0.0019375799613651217,-0.002698895665576344,0.005516076389949326,0.47773836455198837,0.5056505650565056,False,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2022,3,yr_2022_x_exp,0.0012470182278227328,0.001957152556267519,-0.002901959847593205,0.00539599630323867,0.5330327470696465,0.6208620862086208,False,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2023,4,yr_2023_x_exp,0.0005804570514080591,0.002205550105798588,-0.004095100305572367,0.005256014408388484,0.7957708041321332,0.7973797379737974,False,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2024,5,yr_2024_x_exp,0.000328740327104504,0.0024620505454741163,-0.004890573671196655,0.0055480543254056635,0.8954447855074947,0.9146914691469147,False,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,2025,6,yr_2025_x_exp,0.0007668307057521669,0.002225305131340778,-0.003950605434561398,0.005484266846065733,0.7348861102618485,0.8047804780478047,False,2019,171999,17,6.52872352244826,0.03822132163016168,0.0016692715659817775,0.00401373849124028,0.0008663273348547909,0.001408590362186491,2.8494717832727012,False
