model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,region_trends
continuous_event_study,exposure_exp_hybrid,poverty,2025,6,yr_2025_x_exp,-0.0006605038850758927,0.007653095810745304,-0.016884342249722847,0.01556333447957106,0.9322944346310602,0.9493949394939494,False,2019,171999,17,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,False
continuous_event_study,exposure_exp_hybrid,matdep,2017,-2,yr_2017_x_exp,0.004599129408300708,0.0043340306197412505,-0.004588605069475947,0.013786863886077362,0.30437031773031786,0.33723372337233726,True,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,matdep,2018,-1,yr_2018_x_exp,-0.001349269024827907,0.0020832758847470164,-0.005765616612642955,0.0030670785629871404,0.5263853778363266,0.5610561056105611,True,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,matdep,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,matdep,2021,2,yr_2021_x_exp,0.006605317630828034,0.0036125053400175152,-0.0010528515829401766,0.014263486844596246,0.08618466502347744,0.10121012101210121,False,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,matdep,2022,3,yr_2022_x_exp,0.005515019452799115,0.002800448254485515,-0.0004216656420796411,0.011451704547677872,0.06648224682431692,0.0852085208520852,False,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,matdep,2023,4,yr_2023_x_exp,0.004474109450890155,0.005016750867095749,-0.006160927297138948,0.015109146198919256,0.3856979795774469,0.44554455445544555,False,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,matdep,2024,5,yr_2024_x_exp,0.0018493544041697698,0.0038062462100446376,-0.006219527106644675,0.009918235914984214,0.6336437704210987,0.6740674067406741,False,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,matdep,2025,6,yr_2025_x_exp,0.0006507120107877584,0.0037672447070660696,-0.007335490007184827,0.008636914028760344,0.8650306372434191,0.8911891189118912,False,2019,171999,17,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2017,-2,yr_2017_x_exp,0.0031388594907016273,0.0031764821877265175,-0.003594981931941741,0.009872700913344995,0.3377852393379117,0.38753875387538755,True,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2018,-1,yr_2018_x_exp,-0.0014624550211637122,0.0021426567916519924,-0.006004684508199182,0.0030797744658717582,0.5046585850113829,0.5532553255325533,True,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2021,2,yr_2021_x_exp,0.001615441644121784,0.002698758881625,-0.00410567161035548,0.007336554898599048,0.55782837092259,0.5972597259725972,False,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2022,3,yr_2022_x_exp,0.001211862234780433,0.002228741814483121,-0.0035128593483383297,0.005936583817899196,0.5941147162345519,0.7464746474647465,False,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2023,4,yr_2023_x_exp,-0.00011157772022447033,0.0021985722669338004,-0.00477234271961832,0.00454918727916938,0.9601528454906223,0.9647964796479648,False,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2024,5,yr_2024_x_exp,-0.0010840733148468852,0.002978086196234964,-0.007397334023783055,0.005229187394089284,0.7206111620673172,0.731073107310731,False,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap,2025,6,yr_2025_x_exp,0.0005483577258858425,0.00361257554301458,-0.007109960311587867,0.008206675763359553,0.881248988049316,0.9576957695769577,False,2019,171999,17,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2017,-2,yr_2017_x_exp,0.0020946566096354696,0.0020562074463980995,-0.002264308452282065,0.006453621671553004,0.3235032535596556,0.35273527352735273,True,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2018,-1,yr_2018_x_exp,-0.0011932850697228593,0.0014135382146911938,-0.004189852221698473,0.001803282082252754,0.4110119710072646,0.44074407440744073,True,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2021,2,yr_2021_x_exp,0.0017442126068046581,0.0019224313860005254,-0.002331159875767117,0.005819585089376433,0.37771320140529774,0.43994399439943993,False,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2022,3,yr_2022_x_exp,0.0013895576558085895,0.00150439318575547,-0.0017996134307867765,0.004578728742403956,0.3693807567609979,0.5186518651865186,False,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2023,4,yr_2023_x_exp,0.00039211734950456433,0.0013954220950468568,-0.0025660453444356925,0.003350280043444821,0.7823097100503884,0.8186818681868187,False,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2024,5,yr_2024_x_exp,-0.00039021191805271524,0.0018595048008854303,-0.0043321859993771025,0.003551762163271672,0.8364357021720936,0.8556855685568557,False,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,2025,6,yr_2025_x_exp,0.0012499708819389732,0.002553935069376151,-0.004164129605498532,0.006664071369376478,0.6311797915973236,0.8652865286528653,False,2019,171999,17,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,False
continuous_event_study,exposure_cov_hybrid,poverty,2017,-2,yr_2017_x_exp,0.010804743411861054,0.004761554128923065,0.0007106995814282029,0.020898787242293906,0.03744378002976756,0.0193019301930193,True,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,poverty,2018,-1,yr_2018_x_exp,0.008272289509644799,0.0032294490654007964,0.0014261633223365223,0.015118415696953075,0.020910362294833007,0.029802980298029802,True,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,poverty,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,poverty,2021,2,yr_2021_x_exp,-2.4349161291768617e-05,0.003561253811400055,-0.007573869987950636,0.007525171665367098,0.9946292357195246,0.9964996499649965,False,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,poverty,2022,3,yr_2022_x_exp,-0.0014426744607622857,0.002807788064292361,-0.00739491925734585,0.004509570335821279,0.6144062914479571,0.637963796379638,False,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,poverty,2023,4,yr_2023_x_exp,-0.0006531742232858444,0.004293517743648427,-0.009755025240346629,0.00844867679377494,0.8809859661717003,0.9054905490549054,False,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,poverty,2024,5,yr_2024_x_exp,-0.0007665567866922411,0.004843337576760015,-0.011033973781583228,0.009500860208198746,0.8762241121730623,0.8844884488448845,False,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,poverty,2025,6,yr_2025_x_exp,-0.0018254757199745227,0.0035268852349874553,-0.009302138419369629,0.005651186979420584,0.6118273626739201,0.6149614961496149,False,2019,171999,17,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,False
continuous_event_study,exposure_cov_hybrid,matdep,2017,-2,yr_2017_x_exp,0.004687334774593576,0.003062543018876865,-0.0018049664002165481,0.011179635949403702,0.14541423851658886,0.1644164416441644,True,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
continuous_event_study,exposure_cov_hybrid,matdep,2018,-1,yr_2018_x_exp,-0.001149313337651775,0.0023304518881191575,-0.006089650644855756,0.0037910239695522056,0.6285913113142896,0.6507650765076508,True,2019,171999,17,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,False
