model,exposure_spec,outcome,group,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,fake_treatment_year,n_obs,n_clusters,verdict,joint_wald_stat,joint_wald_p
tercile_placebo,exposure_exp_hybrid,matdep,medium,post_fake_x_medium,0.008342828202211303,0.003677771635743157,0.0005463006222737625,0.016139355782148843,0.03749635973727394,0.06070607060706071,2019,42249,17,pretrend_concern,5.963621880529018,0.05070093431431766
tercile_placebo,exposure_exp_hybrid,matdep,high,post_fake_x_high,-0.0019629688055066356,0.00564571279888533,-0.013931345285744908,0.010005407674731636,0.7326034376594346,0.7776777677767777,2019,42249,17,consistent_with_parallel_pretrends,5.963621880529018,0.05070093431431766
tercile_placebo,exposure_exp_hybrid,poverty_gap,medium,post_fake_x_medium,0.0012625122329621087,0.006066868443708524,-0.011598674330533798,0.014123698796458015,0.8377771434366337,0.8746874687468746,2019,42249,17,consistent_with_parallel_pretrends,0.053246687841765554,0.9737279330070869
tercile_placebo,exposure_exp_hybrid,poverty_gap,high,post_fake_x_high,0.00048360688161630034,0.006137458443119562,-0.01252722379570309,0.013494437558935691,0.9381719877062149,0.948094809480948,2019,42249,17,consistent_with_parallel_pretrends,0.053246687841765554,0.9737279330070869
tercile_placebo,exposure_exp_hybrid,poverty_gap_sq,medium,post_fake_x_medium,-3.744690688841369e-05,0.004694574916899141,-0.009989501150814083,0.009914607337037256,0.9937342452622238,0.9913991399139914,2019,42249,17,consistent_with_parallel_pretrends,0.01761652181007489,0.9912304181765903
tercile_placebo,exposure_exp_hybrid,poverty_gap_sq,high,post_fake_x_high,0.0003366756624373647,0.004174555069540023,-0.008512985751371483,0.009186337076246213,0.9367209131978835,0.9552955295529553,2019,42249,17,consistent_with_parallel_pretrends,0.01761652181007489,0.9912304181765903
tercile_placebo,exposure_cov_hybrid,poverty,medium,post_fake_x_medium,-0.004811665530714851,0.010755843030396776,-0.027613034168444975,0.017989703107015274,0.6606166760563268,0.6993699369936993,2019,42249,17,consistent_with_parallel_pretrends,14.366150941811455,0.0007593289532983283
tercile_placebo,exposure_cov_hybrid,poverty,high,post_fake_x_high,-0.029524757024543782,0.009043938375088547,-0.04869704991172445,-0.01035246413736311,0.0048691699358294205,0.0084008400840084,2019,42249,17,pretrend_concern,14.366150941811455,0.0007593289532983283
tercile_placebo,exposure_cov_hybrid,matdep,medium,post_fake_x_medium,0.007877922833468191,0.0030718258444299026,0.001365942947576435,0.014389902719359946,0.02078139950921032,0.030403040304030404,2019,42249,17,pretrend_concern,13.203494881598306,0.001357992950703416
tercile_placebo,exposure_cov_hybrid,matdep,high,post_fake_x_high,-0.007716943639155161,0.004828427363924837,-0.017952752394844337,0.0025188651165340145,0.12954998887228597,0.15071507150715072,2019,42249,17,consistent_with_parallel_pretrends,13.203494881598306,0.001357992950703416
tercile_placebo,exposure_cov_hybrid,poverty_gap,medium,post_fake_x_medium,-0.00625657467860091,0.004246084154609793,-0.015257870978897609,0.0027447216216957898,0.16001932697780585,0.2078207820782078,2019,42249,17,consistent_with_parallel_pretrends,9.94169082553297,0.006937280689271789
tercile_placebo,exposure_cov_hybrid,poverty_gap,high,post_fake_x_high,-0.012711258660634413,0.004105332814904278,-0.021414175450016903,-0.004008341871251923,0.006933699519986902,0.019701970197019702,2019,42249,17,pretrend_concern,9.94169082553297,0.006937280689271789
tercile_placebo,exposure_cov_hybrid,poverty_gap_sq,medium,post_fake_x_medium,-0.006294625312761321,0.002627687180886707,-0.011865073292218812,-0.000724177333303831,0.029179364277464703,0.030803080308030802,2019,42249,17,pretrend_concern,11.618852204447029,0.0029991507844887248
tercile_placebo,exposure_cov_hybrid,poverty_gap_sq,high,post_fake_x_high,-0.008067383178025597,0.0028176038347638233,-0.014040436478447554,-0.0020943298776036397,0.011268624485476497,0.016201620162016202,2019,42249,17,pretrend_concern,11.618852204447029,0.0029991507844887248
tercile_placebo,exposure_composite_sim,poverty,medium,post_fake_x_medium,-0.010665607950493374,0.01447049976272981,-0.04170174320911401,0.02037052730812726,0.4732588308783272,0.49994999499949994,2019,39542,15,consistent_with_parallel_pretrends,0.6225355604465699,0.732517695851785
tercile_placebo,exposure_composite_sim,poverty,high,post_fake_x_high,-0.0028440155549866427,0.014709327832502934,-0.03439238607835778,0.028704354968384495,0.8494636591157789,0.886988698869887,2019,39542,15,consistent_with_parallel_pretrends,0.6225355604465699,0.732517695851785
tercile_placebo,exposure_composite_sim,matdep,medium,post_fake_x_medium,0.005861649134434194,0.0049080165975302565,-0.004664999528028335,0.016388297796896722,0.25220324942406824,0.32613261326132614,2019,39542,15,consistent_with_parallel_pretrends,1.5063435588912453,0.47087068375554175
